datetime,actual_performance(10000 kW)
1/1/2021 0:00,1571
1/1/2021 1:00,1492
1/1/2021 2:00,1453
1/1/2021 3:00,1412
1/1/2021 4:00,1358
1/1/2021 5:00,1298
1/1/2021 6:00,1305
1/1/2021 7:00,1401
1/1/2021 8:00,1535
1/1/2021 9:00,1555
1/1/2021 10:00,1498
1/1/2021 11:00,1487
1/1/2021 12:00,1506
1/1/2021 13:00,1511
1/1/2021 14:00,1457
1/1/2021 15:00,1454
1/1/2021 16:00,1497
1/1/2021 17:00,1632
1/1/2021 18:00,1679
1/1/2021 19:00,1671
1/1/2021 20:00,1663
1/1/2021 21:00,1640
1/1/2021 22:00,1566
1/1/2021 23:00,1524
1/2/2021 0:00,1438
1/2/2021 1:00,1385
1/2/2021 2:00,1386
1/2/2021 3:00,1363
1/2/2021 4:00,1314
1/2/2021 5:00,1269
1/2/2021 6:00,1294
1/2/2021 7:00,1404
1/2/2021 8:00,1546
1/2/2021 9:00,1587
1/2/2021 10:00,1549
1/2/2021 11:00,1513
1/2/2021 12:00,1468
1/2/2021 13:00,1426
1/2/2021 14:00,1410
1/2/2021 15:00,1425
1/2/2021 16:00,1503
1/2/2021 17:00,1658
1/2/2021 18:00,1712
1/2/2021 19:00,1708
1/2/2021 20:00,1692
1/2/2021 21:00,1648
1/2/2021 22:00,1565
1/2/2021 23:00,1520
1/3/2021 0:00,1436
1/3/2021 1:00,1384
1/3/2021 2:00,1382
1/3/2021 3:00,1362
1/3/2021 4:00,1315
1/3/2021 5:00,1264
1/3/2021 6:00,1275
1/3/2021 7:00,1376
1/3/2021 8:00,1526
1/3/2021 9:00,1597
1/3/2021 10:00,1587
1/3/2021 11:00,1552
1/3/2021 12:00,1506
1/3/2021 13:00,1473
1/3/2021 14:00,1452
1/3/2021 15:00,1476
1/3/2021 16:00,1544
1/3/2021 17:00,1697
1/3/2021 18:00,1749
1/3/2021 19:00,1740
1/3/2021 20:00,1717
1/3/2021 21:00,1651
1/3/2021 22:00,1549
1/3/2021 23:00,1483
1/4/2021 0:00,1390
1/4/2021 1:00,1344
1/4/2021 2:00,1350
1/4/2021 3:00,1336
1/4/2021 4:00,1304
1/4/2021 5:00,1295
1/4/2021 6:00,1399
1/4/2021 7:00,1579
1/4/2021 8:00,1763
1/4/2021 9:00,1781
1/4/2021 10:00,1737
1/4/2021 11:00,1688
1/4/2021 12:00,1649
1/4/2021 13:00,1624
1/4/2021 14:00,1601
1/4/2021 15:00,1627
1/4/2021 16:00,1695
1/4/2021 17:00,1844
1/4/2021 18:00,1884
1/4/2021 19:00,1876
1/4/2021 20:00,1847
1/4/2021 21:00,1774
1/4/2021 22:00,1663
1/4/2021 23:00,1591
1/5/2021 0:00,1495
1/5/2021 1:00,1446
1/5/2021 2:00,1450
1/5/2021 3:00,1440
1/5/2021 4:00,1409
1/5/2021 5:00,1419
1/5/2021 6:00,1577
1/5/2021 7:00,1822
1/5/2021 8:00,2115
1/5/2021 9:00,2255
1/5/2021 10:00,2242
1/5/2021 11:00,2202
1/5/2021 12:00,2106
1/5/2021 13:00,2122
1/5/2021 14:00,2109
1/5/2021 15:00,2102
1/5/2021 16:00,2138
1/5/2021 17:00,2155
1/5/2021 18:00,2129
1/5/2021 19:00,2071
1/5/2021 20:00,2000
1/5/2021 21:00,1902
1/5/2021 22:00,1763
1/5/2021 23:00,1654
1/6/2021 0:00,1538
1/6/2021 1:00,1488
1/6/2021 2:00,1496
1/6/2021 3:00,1497
1/6/2021 4:00,1491
1/6/2021 5:00,1516
1/6/2021 6:00,1669
1/6/2021 7:00,1872
1/6/2021 8:00,2106
1/6/2021 9:00,2188
1/6/2021 10:00,2161
1/6/2021 11:00,2121
1/6/2021 12:00,2010
1/6/2021 13:00,2070
1/6/2021 14:00,2082
1/6/2021 15:00,2076
1/6/2021 16:00,2125
1/6/2021 17:00,2157
1/6/2021 18:00,2149
1/6/2021 19:00,2088
1/6/2021 20:00,2023
1/6/2021 21:00,1933
1/6/2021 22:00,1825
1/6/2021 23:00,1722
1/7/2021 0:00,1608
1/7/2021 1:00,1560
1/7/2021 2:00,1571
1/7/2021 3:00,1566
1/7/2021 4:00,1544
1/7/2021 5:00,1566
1/7/2021 6:00,1735
1/7/2021 7:00,1945
1/7/2021 8:00,2204
1/7/2021 9:00,2340
1/7/2021 10:00,2356
1/7/2021 11:00,2342
1/7/2021 12:00,2230
1/7/2021 13:00,2278
1/7/2021 14:00,2280
1/7/2021 15:00,2323
1/7/2021 16:00,2416
1/7/2021 17:00,2479
1/7/2021 18:00,2477
1/7/2021 19:00,2414
1/7/2021 20:00,2339
1/7/2021 21:00,2243
1/7/2021 22:00,2103
1/7/2021 23:00,1999
1/8/2021 0:00,1857
1/8/2021 1:00,1785
1/8/2021 2:00,1772
1/8/2021 3:00,1758
1/8/2021 4:00,1730
1/8/2021 5:00,1774
1/8/2021 6:00,1997
1/8/2021 7:00,2244
1/8/2021 8:00,2466
1/8/2021 9:00,2548
1/8/2021 10:00,2501
1/8/2021 11:00,2465
1/8/2021 12:00,2376
1/8/2021 13:00,2417
1/8/2021 14:00,2423
1/8/2021 15:00,2456
1/8/2021 16:00,2524
1/8/2021 17:00,2564
1/8/2021 18:00,2551
1/8/2021 19:00,2474
1/8/2021 20:00,2392
1/8/2021 21:00,2297
1/8/2021 22:00,2167
1/8/2021 23:00,2068
1/9/2021 0:00,1935
1/9/2021 1:00,1844
1/9/2021 2:00,1816
1/9/2021 3:00,1774
1/9/2021 4:00,1726
1/9/2021 5:00,1708
1/9/2021 6:00,1810
1/9/2021 7:00,1979
1/9/2021 8:00,2180
1/9/2021 9:00,2267
1/9/2021 10:00,2220
1/9/2021 11:00,2172
1/9/2021 12:00,2084
1/9/2021 13:00,2072
1/9/2021 14:00,2054
1/9/2021 15:00,2087
1/9/2021 16:00,2160
1/9/2021 17:00,2278
1/9/2021 18:00,2304
1/9/2021 19:00,2277
1/9/2021 20:00,2230
1/9/2021 21:00,2147
1/9/2021 22:00,2026
1/9/2021 23:00,1947
1/10/2021 0:00,1834
1/10/2021 1:00,1753
1/10/2021 2:00,1732
1/10/2021 3:00,1697
1/10/2021 4:00,1639
1/10/2021 5:00,1599
1/10/2021 6:00,1656
1/10/2021 7:00,1792
1/10/2021 8:00,1953
1/10/2021 9:00,2006
1/10/2021 10:00,1955
1/10/2021 11:00,1887
1/10/2021 12:00,1832
1/10/2021 13:00,1794
1/10/2021 14:00,1761
1/10/2021 15:00,1777
1/10/2021 16:00,1871
1/10/2021 17:00,2042
1/10/2021 18:00,2101
1/10/2021 19:00,2081
1/10/2021 20:00,2045
1/10/2021 21:00,1975
1/10/2021 22:00,1863
1/10/2021 23:00,1783
1/11/2021 0:00,1697
1/11/2021 1:00,1640
1/11/2021 2:00,1636
1/11/2021 3:00,1606
1/11/2021 4:00,1568
1/11/2021 5:00,1558
1/11/2021 6:00,1630
1/11/2021 7:00,1808
1/11/2021 8:00,2028
1/11/2021 9:00,2158
1/11/2021 10:00,2158
1/11/2021 11:00,2062
1/11/2021 12:00,1956
1/11/2021 13:00,1957
1/11/2021 14:00,1932
1/11/2021 15:00,1930
1/11/2021 16:00,1998
1/11/2021 17:00,2159
1/11/2021 18:00,2206
1/11/2021 19:00,2171
1/11/2021 20:00,2122
1/11/2021 21:00,2032
1/11/2021 22:00,1894
1/11/2021 23:00,1805
1/12/2021 0:00,1693
1/12/2021 1:00,1636
1/12/2021 2:00,1635
1/12/2021 3:00,1606
1/12/2021 4:00,1581
1/12/2021 5:00,1618
1/12/2021 6:00,1827
1/12/2021 7:00,2096
1/12/2021 8:00,2416
1/12/2021 9:00,2595
1/12/2021 10:00,2596
1/12/2021 11:00,2554
1/12/2021 12:00,2418
1/12/2021 13:00,2443
1/12/2021 14:00,2391
1/12/2021 15:00,2358
1/12/2021 16:00,2390
1/12/2021 17:00,2404
1/12/2021 18:00,2379
1/12/2021 19:00,2301
1/12/2021 20:00,2226
1/12/2021 21:00,2127
1/12/2021 22:00,2002
1/12/2021 23:00,1902
1/13/2021 0:00,1775
1/13/2021 1:00,1715
1/13/2021 2:00,1710
1/13/2021 3:00,1696
1/13/2021 4:00,1676
1/13/2021 5:00,1714
1/13/2021 6:00,1914
1/13/2021 7:00,2136
1/13/2021 8:00,2364
1/13/2021 9:00,2431
1/13/2021 10:00,2337
1/13/2021 11:00,2255
1/13/2021 12:00,2130
1/13/2021 13:00,2169
1/13/2021 14:00,2141
1/13/2021 15:00,2136
1/13/2021 16:00,2181
1/13/2021 17:00,2240
1/13/2021 18:00,2249
1/13/2021 19:00,2200
1/13/2021 20:00,2138
1/13/2021 21:00,2046
1/13/2021 22:00,1934
1/13/2021 23:00,1833
1/14/2021 0:00,1720
1/14/2021 1:00,1663
1/14/2021 2:00,1655
1/14/2021 3:00,1638
1/14/2021 4:00,1623
1/14/2021 5:00,1660
1/14/2021 6:00,1847
1/14/2021 7:00,2063
1/14/2021 8:00,2276
1/14/2021 9:00,2333
1/14/2021 10:00,2234
1/14/2021 11:00,2150
1/14/2021 12:00,2009
1/14/2021 13:00,2032
1/14/2021 14:00,2005
1/14/2021 15:00,1996
1/14/2021 16:00,2036
1/14/2021 17:00,2095
1/14/2021 18:00,2107
1/14/2021 19:00,2041
1/14/2021 20:00,1963
1/14/2021 21:00,1886
1/14/2021 22:00,1785
1/14/2021 23:00,1698
1/15/2021 0:00,1598
1/15/2021 1:00,1568
1/15/2021 2:00,1581
1/15/2021 3:00,1585
1/15/2021 4:00,1571
1/15/2021 5:00,1602
1/15/2021 6:00,1780
1/15/2021 7:00,1982
1/15/2021 8:00,2186
1/15/2021 9:00,2245
1/15/2021 10:00,2160
1/15/2021 11:00,2089
1/15/2021 12:00,1942
1/15/2021 13:00,1963
1/15/2021 14:00,1929
1/15/2021 15:00,1907
1/15/2021 16:00,1941
1/15/2021 17:00,1994
1/15/2021 18:00,2004
